query_id,rep,e2e_ms
test-sport-aastshsrqsar-con04a,0,601.0615
test-sport-aastshsrqsar-con04a,1,591.0009
test-sport-aastshsrqsar-con04a,2,589.8315
test-sport-aastshsrqsar-con03a,0,587.7056
test-sport-aastshsrqsar-con03a,1,545.7424
test-sport-aastshsrqsar-con03a,2,562.6202
test-sport-aastshsrqsar-con01a,0,595.9884
test-sport-aastshsrqsar-con01a,1,516.6605
test-sport-aastshsrqsar-con01a,2,569.9534
test-sport-otshwbe2uuyt-pro02a,0,655.7860
test-sport-otshwbe2uuyt-pro02a,1,570.4149
test-sport-otshwbe2uuyt-pro02a,2,986.5116
test-sport-otshwbe2uuyt-pro01a,0,579.3508
test-sport-otshwbe2uuyt-pro01a,1,538.8555
test-sport-otshwbe2uuyt-pro01a,2,559.3382
test-sport-otshwbe2uuyt-pro03a,0,676.2979
test-sport-otshwbe2uuyt-pro03a,1,552.5964
test-sport-otshwbe2uuyt-pro03a,2,545.5706
test-sport-otshwbe2uuyt-con02a,0,600.2568
test-sport-otshwbe2uuyt-con02a,1,482.3864
test-sport-otshwbe2uuyt-con02a,2,563.7883
test-sport-otshwbe2uuyt-con05a,0,590.2214
test-sport-otshwbe2uuyt-con05a,1,883.6736
test-sport-otshwbe2uuyt-con05a,2,601.1373
test-sport-otshwbe2uuyt-con04a,0,617.2756
test-sport-otshwbe2uuyt-con04a,1,521.2888
test-sport-otshwbe2uuyt-con04a,2,538.4380
test-sport-otshwbe2uuyt-con03a,0,566.9407
test-sport-otshwbe2uuyt-con03a,1,551.3658
test-sport-otshwbe2uuyt-con03a,2,586.9901
test-sport-otshwbe2uuyt-con01a,0,9962.2834
test-sport-otshwbe2uuyt-con01a,1,491.6101
test-sport-otshwbe2uuyt-con01a,2,544.8339
test-sport-ybfgsohbhog-pro02a,0,576.6810
test-sport-ybfgsohbhog-pro02a,1,573.9386
test-sport-ybfgsohbhog-pro02a,2,592.6355
test-sport-ybfgsohbhog-pro01a,0,724.3713
test-sport-ybfgsohbhog-pro01a,1,591.3571
test-sport-ybfgsohbhog-pro01a,2,593.8028
test-sport-ybfgsohbhog-pro03a,0,656.1919
test-sport-ybfgsohbhog-pro03a,1,572.8152
test-sport-ybfgsohbhog-pro03a,2,609.6617
test-sport-ybfgsohbhog-pro04a,0,629.9922
test-sport-ybfgsohbhog-pro04a,1,555.8052
test-sport-ybfgsohbhog-pro04a,2,557.6768
test-sport-ybfgsohbhog-con02a,0,597.1222
test-sport-ybfgsohbhog-con02a,1,541.7762
test-sport-ybfgsohbhog-con02a,2,553.7263
test-sport-ybfgsohbhog-con03a,0,568.4640
test-sport-ybfgsohbhog-con03a,1,591.8577
test-sport-ybfgsohbhog-con03a,2,543.7856
test-sport-ybfgsohbhog-con01a,0,590.4219
test-sport-ybfgsohbhog-con01a,1,481.2041
test-sport-ybfgsohbhog-con01a,2,558.3544
test-sport-tshbmlbscac-pro02a,0,621.5878
test-sport-tshbmlbscac-pro02a,1,524.7002
test-sport-tshbmlbscac-pro02a,2,598.3037
test-sport-tshbmlbscac-pro01a,0,554.0479
test-sport-tshbmlbscac-pro01a,1,569.1662
test-sport-tshbmlbscac-pro01a,2,553.3624
test-sport-tshbmlbscac-pro03a,0,578.5060
test-sport-tshbmlbscac-pro03a,1,542.3121
test-sport-tshbmlbscac-pro03a,2,538.6101
test-sport-tshbmlbscac-pro04a,0,574.6750
test-sport-tshbmlbscac-pro04a,1,550.2498
test-sport-tshbmlbscac-pro04a,2,574.8558
test-sport-tshbmlbscac-con02a,0,536.4426
test-sport-tshbmlbscac-con02a,1,603.5516
test-sport-tshbmlbscac-con02a,2,552.9873
test-sport-tshbmlbscac-con04a,0,545.7408
test-sport-tshbmlbscac-con04a,1,554.3129
test-sport-tshbmlbscac-con04a,2,547.9348
test-sport-tshbmlbscac-con03a,0,545.1951
test-sport-tshbmlbscac-con03a,1,639.5130
test-sport-tshbmlbscac-con03a,2,527.8613
test-sport-tshbmlbscac-con01a,0,499.7180
test-sport-tshbmlbscac-con01a,1,575.6619
test-sport-tshbmlbscac-con01a,2,585.2339
test-free-speech-debate-magghbcrg-pro02a,0,524.8018
test-free-speech-debate-magghbcrg-pro02a,1,598.5229
test-free-speech-debate-magghbcrg-pro02a,2,562.8964
test-free-speech-debate-magghbcrg-pro01a,0,503.2542
test-free-speech-debate-magghbcrg-pro01a,1,576.3740
test-free-speech-debate-magghbcrg-pro01a,2,547.7840
test-free-speech-debate-magghbcrg-pro03a,0,550.6106
test-free-speech-debate-magghbcrg-pro03a,1,567.3760
test-free-speech-debate-magghbcrg-pro03a,2,590.4010
test-free-speech-debate-magghbcrg-con02a,0,573.5458
test-free-speech-debate-magghbcrg-con02a,1,573.7986
test-free-speech-debate-magghbcrg-con02a,2,556.9816
test-free-speech-debate-magghbcrg-con03a,0,509.5099
test-free-speech-debate-magghbcrg-con03a,1,551.4056
test-free-speech-debate-magghbcrg-con03a,2,584.2293
test-free-speech-debate-magghbcrg-con01a,0,579.0513
test-free-speech-debate-magghbcrg-con01a,1,578.7501
test-free-speech-debate-magghbcrg-con01a,2,558.3316
test-free-speech-debate-nshbbsbfb-pro02a,0,768.7168
test-free-speech-debate-nshbbsbfb-pro02a,1,684.8890
test-free-speech-debate-nshbbsbfb-pro02a,2,561.2742
test-free-speech-debate-nshbbsbfb-pro01a,0,553.0067
test-free-speech-debate-nshbbsbfb-pro01a,1,554.3571
test-free-speech-debate-nshbbsbfb-pro01a,2,873.6495
test-free-speech-debate-nshbbsbfb-pro03a,0,564.1980
test-free-speech-debate-nshbbsbfb-pro03a,1,546.3418
test-free-speech-debate-nshbbsbfb-pro03a,2,544.1361
test-free-speech-debate-nshbbsbfb-pro04a,0,596.1792
test-free-speech-debate-nshbbsbfb-pro04a,1,604.9988
test-free-speech-debate-nshbbsbfb-pro04a,2,661.5494
test-free-speech-debate-nshbbsbfb-con02a,0,562.4507
test-free-speech-debate-nshbbsbfb-con02a,1,520.6488
test-free-speech-debate-nshbbsbfb-con02a,2,547.2875
test-free-speech-debate-nshbbsbfb-con03a,0,626.2760
test-free-speech-debate-nshbbsbfb-con03a,1,582.4781
test-free-speech-debate-nshbbsbfb-con03a,2,545.6285
test-free-speech-debate-nshbbsbfb-con01a,0,571.6949
test-free-speech-debate-nshbbsbfb-con01a,1,618.9729
test-free-speech-debate-nshbbsbfb-con01a,2,562.1476
test-free-speech-debate-fsaphgiap-pro02a,0,714.0698
test-free-speech-debate-fsaphgiap-pro02a,1,529.1274
test-free-speech-debate-fsaphgiap-pro02a,2,553.2479
test-free-speech-debate-fsaphgiap-pro01a,0,1629.3853
test-free-speech-debate-fsaphgiap-pro01a,1,560.9064
test-free-speech-debate-fsaphgiap-pro01a,2,530.1578
test-free-speech-debate-fsaphgiap-pro03a,0,594.4072
test-free-speech-debate-fsaphgiap-pro03a,1,589.9254
test-free-speech-debate-fsaphgiap-pro03a,2,533.6672
test-free-speech-debate-fsaphgiap-pro04a,0,573.1140
test-free-speech-debate-fsaphgiap-pro04a,1,572.8116
test-free-speech-debate-fsaphgiap-pro04a,2,553.6538
test-free-speech-debate-fsaphgiap-con02a,0,584.6344
test-free-speech-debate-fsaphgiap-con02a,1,598.8194
test-free-speech-debate-fsaphgiap-con02a,2,565.1131
test-free-speech-debate-fsaphgiap-con04a,0,565.9419
test-free-speech-debate-fsaphgiap-con04a,1,571.6611
test-free-speech-debate-fsaphgiap-con04a,2,573.2184
test-free-speech-debate-fsaphgiap-con03a,0,537.3827
test-free-speech-debate-fsaphgiap-con03a,1,634.7023
test-free-speech-debate-fsaphgiap-con03a,2,543.1470
test-free-speech-debate-fsaphgiap-con01a,0,574.2737
test-free-speech-debate-fsaphgiap-con01a,1,576.5027
test-free-speech-debate-fsaphgiap-con01a,2,535.6203
test-free-speech-debate-yfsdfkhbwu-pro02a,0,552.7106
test-free-speech-debate-yfsdfkhbwu-pro02a,1,627.0053
test-free-speech-debate-yfsdfkhbwu-pro02a,2,514.7177
test-free-speech-debate-yfsdfkhbwu-pro01a,0,572.3145
test-free-speech-debate-yfsdfkhbwu-pro01a,1,616.4497
test-free-speech-debate-yfsdfkhbwu-pro01a,2,560.7403
test-free-speech-debate-yfsdfkhbwu-pro03a,0,561.6674
test-free-speech-debate-yfsdfkhbwu-pro03a,1,561.0194
test-free-speech-debate-yfsdfkhbwu-pro03a,2,535.9386
test-free-speech-debate-yfsdfkhbwu-con02a,0,591.4994
test-free-speech-debate-yfsdfkhbwu-con02a,1,618.5277
test-free-speech-debate-yfsdfkhbwu-con02a,2,490.3069
test-free-speech-debate-yfsdfkhbwu-con03a,0,609.4655
test-free-speech-debate-yfsdfkhbwu-con03a,1,488.9027
test-free-speech-debate-yfsdfkhbwu-con03a,2,546.3180
test-free-speech-debate-yfsdfkhbwu-con01a,0,551.1024
test-free-speech-debate-yfsdfkhbwu-con01a,1,524.3871
test-free-speech-debate-yfsdfkhbwu-con01a,2,568.9025
test-free-speech-debate-ldhwbmclg-pro02a,0,695.4190
test-free-speech-debate-ldhwbmclg-pro02a,1,551.8892
test-free-speech-debate-ldhwbmclg-pro02a,2,523.9465
test-free-speech-debate-ldhwbmclg-pro01a,0,828.4959
test-free-speech-debate-ldhwbmclg-pro01a,1,540.5263
test-free-speech-debate-ldhwbmclg-pro01a,2,525.5507
test-free-speech-debate-ldhwbmclg-pro03a,0,579.2788
test-free-speech-debate-ldhwbmclg-pro03a,1,476.4366
test-free-speech-debate-ldhwbmclg-pro03a,2,534.4051
